model,query_type,request_idx,tool_idx,function_name,parameters,purpose,tool_count,acknowledges_noise,from_cache
router,poem,4,0,search_restaurants,"- location: ""Austin, Texas""
- cuisine: ""Italian""
- outdoor_seating: true
- price_range: null (not specified)
- rating: null (not specified)",Search for Italian restaurants in Austin that have outdoor seating options,3,True,True
router,poem,4,1,check_restaurant_availability,"- restaurant_id: [ID from search results]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check if selected restaurants have availability for the specified party size and time,3,True,True
router,poem,4,2,make_restaurant_reservation,"- restaurant_id: [ID of chosen restaurant]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- phone_number: [user's phone]
- email: [user's email]",Actually make the reservation at the chosen restaurant once user selects from available options,3,True,True
router,poem,5,0,searchRestaurants,"- cuisine_type: ""Italian""
- location: ""Austin, Texas""
- outdoor_seating: true
- price_range: null (optional, not specified)
- rating_minimum: null (optional, not specified)",Search for Italian restaurants in Austin that have outdoor seating options,4,True,True
router,poem,5,1,checkAvailability,"- restaurant_ids: [results from searchRestaurants]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check which of the found restaurants have availability for the specified party size and time,4,True,True
router,poem,5,2,getRestaurantDetails,- restaurant_id: [selected restaurant from availability results],"Retrieve detailed information about the specific restaurant including menu, photos, exact address, and reviews",4,True,True
router,poem,5,3,makeReservation,"- restaurant_id: [selected restaurant id]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- phone_number: [user's phone]
- email: [user's email]",Actually book the reservation at the chosen restaurant,4,True,True
router,poem,6,0,search_restaurants,"- cuisine_type: ""Italian""
- location: ""Austin, TX""
- outdoor_seating: true
- price_range: null (not specified)
- rating_minimum: null (not specified)",Find Italian restaurants in Austin that have outdoor seating options,3,True,True
router,poem,6,1,check_restaurant_availability,"- restaurant_id: [id from search results]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check if selected restaurants have availability for the specified party size and time,3,True,True
router,poem,6,2,create_reservation,"- restaurant_id: [id of chosen restaurant]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- phone_number: [user's phone]
- email: [user's email]",Make the actual reservation at the chosen restaurant,3,True,True
router,poem,7,0,search_restaurants,"- cuisine_type: ""Italian""
- location: ""Austin, Texas""
- features: [""outdoor seating""]
- rating_minimum: 4.0",Find highly-rated Italian restaurants in Austin that have outdoor seating options,4,True,True
router,poem,7,1,check_availability,"- restaurant_id: [ID from search results]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check if selected restaurants have availability for the specified party size and time,4,True,True
router,poem,7,2,make_reservation,"- restaurant_id: [ID from available options]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- phone_number: [user's phone]
- email: [user's email]",Actually book the reservation at the chosen restaurant,4,True,True
router,poem,7,3,send_confirmation,"- reservation_id: [ID from reservation]
- email: [user's email]
- phone_number: [user's phone]",Send confirmation details to the user via email and/or text,4,True,True
router,poem,8,0,search_restaurants,"- location: ""Austin, Texas""
- cuisine_type: ""Italian""
- outdoor_seating: true
- price_range: null (not specified)
- rating_minimum: null (not specified)",Find available Italian restaurants in Austin that have outdoor seating options,4,True,True
router,poem,8,1,check_restaurant_availability,"- restaurant_id: [ID returned from search]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check if selected restaurants have availability for the specified party size and time,4,True,True
router,poem,8,2,make_restaurant_reservation,"- restaurant_id: [ID from selected restaurant]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- phone_number: [user's phone]
- email: [user's email]",Actually make the reservation at the chosen restaurant once confirmed,4,True,True
router,poem,8,3,send_confirmation,"- reservation_id: [ID from reservation]
- customer_contact: [email or phone]",Send reservation confirmation details to the customer,4,True,True
router,poem,9,0,search_restaurants,"{
    ""location"": ""Austin, Texas"",
    ""cuisine"": ""Italian"",
    ""outdoor_seating"": true,
    ""price_range"": null,  // Optional parameter left open
    ""rating_minimum"": null  // Optional parameter left open
  }
-",Find Italian restaurants in Austin that have outdoor seating options,3,True,True
router,poem,9,1,check_restaurant_availability,"{
    ""restaurant_id"": ""[id from search results]"",
    ""date"": ""today"",
    ""time"": ""19:30"",
    ""party_size"": 6
  }
-",Check if selected restaurant(s) can accommodate the specific party size at requested time,3,True,True
router,poem,9,2,make_restaurant_reservation,"{
    ""restaurant_id"": ""[id from available options]"",
    ""date"": ""today"",
    ""time"": ""19:30"",
    ""party_size"": 6,
    ""customer_name"": ""[user's name]"",
    ""phone_number"": ""[user's phone]"",
    ""special_requests"": ""Outdoor seating preferred""
  }
-",Actually make the reservation at the chosen restaurant with all specified details,3,True,True
router,poem,10,0,search_restaurants,"- location: ""Austin, Texas""
- cuisine_type: ""Italian""
- outdoor_seating: true
- price_range: null (not specified by user)
- rating_minimum: null (not specified by user)",Find Italian restaurants in Austin that have outdoor seating options,4,True,True
router,poem,10,1,check_restaurant_availability,"- restaurant_id: [ID returned from search]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check if selected restaurants have availability for the specified party size and time,4,True,True
router,poem,10,2,make_restaurant_reservation,"- restaurant_id: [ID of chosen restaurant]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- contact_info: [user's phone/email]",Actually book the reservation at the chosen restaurant,4,True,True
router,poem,10,3,send_confirmation,"- reservation_id: [ID from reservation]
- contact_method: [user's preferred contact method]",Send reservation confirmation details to the user,4,True,True
router,poem,11,0,search_restaurants,"- location: ""Austin, Texas""
- cuisine: ""Italian""
- outdoor_seating: true
- price_range: null (not specified)
- rating_minimum: null (not specified)","Find Italian restaurants in Austin that have outdoor seating options, returning a list of matching venues",3,True,True
router,poem,11,1,check_restaurant_availability,"- restaurant_id: [ID from search results]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check if selected restaurants have availability for the specified party size and time,3,True,True
router,poem,11,2,make_restaurant_reservation,"- restaurant_id: [ID of chosen restaurant]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- phone_number: [user's phone]
- email: [user's email]",Actually make the reservation at the chosen restaurant for the specified parameters,3,True,True
router,poem,12,0,search_restaurants,"{
     ""location"": ""Austin, Texas"",
     ""cuisine"": ""Italian"",
     ""outdoor_seating"": true,
     ""min_rating"": 4.0,
     ""price_range"": ""$$-$$$""
   }
   -",Find highly-rated Italian restaurants in Austin that offer outdoor seating,3,True,True
router,poem,12,1,check_restaurant_availability,"{
     ""restaurant_id"": ""[id from previous search]"",
     ""date"": ""[today's date]"",
     ""time"": ""19:30"",
     ""party_size"": 6
   }
   -",Check if selected restaurants have availability for the requested party size and time,3,True,True
router,poem,12,2,make_restaurant_reservation,"{
     ""restaurant_id"": ""[id from previous search]"",
     ""date"": ""[today's date]"",
     ""time"": ""19:30"",
     ""party_size"": 6,
     ""customer_name"": ""[user's name]"",
     ""phone"": ""[user's phone]"",
     ""email"": ""[user's email]""
   }
   -",Actually book the reservation at the chosen restaurant with the specified details,3,True,True
router,poem,13,0,search_restaurants,"- cuisine_type: ""Italian""
- location: ""Austin, TX""
- outdoor_seating: true
- price_range: null (not specified)
- rating_minimum: null (not specified)",Search for Italian restaurants in Austin that have outdoor seating options,3,True,True
router,poem,13,1,check_restaurant_availability,"- restaurant_id: [ID from search results]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check if selected restaurants have availability for the specified party size and time,3,True,True
router,poem,13,2,make_restaurant_reservation,"- restaurant_id: [ID of chosen restaurant]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- contact_info: [user's phone/email]",Make the actual reservation at the chosen restaurant,3,True,True
router,poem,14,0,search_restaurants,"- location: ""Austin, Texas""
- cuisine: ""Italian""
- features: [""outdoor seating""]
- price_range: null (not specified)",To find Italian restaurants in Austin that have outdoor seating options,4,True,True
router,poem,14,1,get_restaurant_availability,"- date: [today's date]
- time: ""19:30""
- party_size: 6
- restaurant_ids: [list from search_restaurants results]",Check which of the found restaurants have availability for the specified party size and time,4,True,True
router,poem,14,2,get_restaurant_details,- restaurant_id: [selected restaurant from available options],"Retrieve full details about the specific restaurant including address, phone, ratings, menu link",4,True,True
router,poem,14,3,make_reservation,"- restaurant_id: [selected restaurant id]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- phone_number: [user's phone]
- email: [user's email]",Actually book the reservation at the chosen restaurant,4,True,True
router,poem,15,0,search_restaurants,"- location: ""Austin, Texas""
- cuisine_type: ""Italian""
- outdoor_seating: true
- price_range: null (not specified by user)
- rating_minimum: null (not specified by user)",Find Italian restaurants in Austin that have outdoor seating options,4,True,True
router,poem,15,1,check_restaurant_availability,"- restaurant_id: [ID returned from search]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check if selected restaurants have availability for the specified party size and time,4,True,True
router,poem,15,2,make_restaurant_reservation,"- restaurant_id: [ID from selected restaurant]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- contact_info: [user's phone/email]",Actually book the reservation at the chosen restaurant,4,True,True
router,poem,15,3,send_confirmation,"- reservation_id: [ID from reservation]
- customer_contact: [user's preferred contact method]",Send confirmation details of the reservation to the user,4,True,True
router,poem,16,0,search_restaurants,"- location: ""Austin, Texas""
- cuisine_type: ""Italian"" 
- outdoor_seating: true
- price_range: null (not specified)
- rating_minimum: null (not specified)",Find Italian restaurants in Austin that have outdoor seating options,4,True,True
router,poem,16,1,check_restaurant_availability,"- restaurant_id: [ID from search results]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check if selected restaurants have availability for the specified party size and time,4,True,True
router,poem,16,2,make_restaurant_reservation,"- restaurant_id: [ID of chosen restaurant]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- phone_number: [user's phone]
- email: [user's email]",Actually make the reservation at the chosen restaurant,4,True,True
router,poem,16,3,send_confirmation,"- reservation_id: [ID from reservation]
- email: [user's email]
- phone_number: [user's phone]",Send confirmation details to the user via email and/or text,4,True,True
router,poem,17,0,search_restaurants,"- cuisine_type: ""Italian""
- location: ""Austin, TX""
- outdoor_seating: true
- min_party_size: 6",Search for Italian restaurants in Austin that have outdoor seating and can accommodate 6+ people,4,True,True
router,poem,17,1,check_restaurant_availability,"- restaurant_id: [ID from search results]
- party_size: 6
- desired_time: ""7:30 PM""
- desired_date: [today's date]",Check if selected restaurants have availability for the specified party size and time,4,True,True
router,poem,17,2,make_restaurant_reservation,"- restaurant_id: [ID of chosen restaurant]
- party_size: 6
- reservation_time: ""7:30 PM""
- reservation_date: [today's date]
- seating_preference: ""outdoor""",Actually make the reservation at the chosen restaurant with the specified parameters,4,True,True
router,poem,17,3,send_confirmation,"- reservation_id: [ID from reservation]
- user_contact: [user's contact info]",Send confirmation details of the reservation to the user,4,True,True
router,poem,18,0,search_restaurants,"{
     ""location"": ""Austin, Texas"",
     ""cuisine"": ""Italian"",
     ""outdoor_seating"": true,
     ""minimum_seating_capacity"": 6,
     ""sort_by"": ""rating""
   }
   -",Find top-rated Italian restaurants in Austin that have outdoor seating and can accommodate 6 people,3,True,True
router,poem,18,1,check_restaurant_availability,"{
     ""restaurant_id"": ""[id from search results]"",
     ""date"": ""[today's date]"",
     ""time"": ""19:30"",
     ""party_size"": 6
   }
   -",Check if selected restaurants have availability for the requested time and party size,3,True,True
router,poem,18,2,make_restaurant_reservation,"{
     ""restaurant_id"": ""[id from available options]"",
     ""date"": ""[today's date]"",
     ""time"": ""19:30"",
     ""party_size"": 6,
     ""customer_name"": ""[user's name]"",
     ""phone_number"": ""[user's phone]"",
     ""special_requests"": ""Outdoor seating preferred""
   }
   -",Make the actual reservation at the chosen restaurant,3,True,True
router,poem,19,0,search_restaurants,"- location: ""Austin, Texas""
     - cuisine: ""Italian""
     - features: [""outdoor seating""]
   -",Find Italian restaurants in Austin that have outdoor seating options,4,True,True
router,poem,19,1,get_restaurant_availability,"- date: [today's date]
     - time: ""19:30""
     - party_size: 6
     - restaurant_ids: [list returned from search_restaurants]
   -",Check which of the found restaurants have availability for the requested party size and time,4,True,True
router,poem,19,2,display_restaurant_details,"- restaurant_ids: [filtered list of available restaurants]
   -","Show details like menu, prices, ratings, and reviews for available restaurants",4,True,True
router,poem,19,3,make_reservation,"- restaurant_id: [selected restaurant id]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
     - customer_name: [user's name]
     - contact_info: [user's phone/email]
   -",Actually book the reservation at the chosen restaurant,4,True,True
router,poem,20,0,search_restaurants,"- location: ""Austin, Texas""
     - cuisine: ""Italian""
     - outdoor_seating: true
     - minimum_rating: 4.0
   -",Find highly-rated Italian restaurants in Austin that offer outdoor seating,4,True,False
router,poem,20,1,check_restaurant_availability,"- restaurant_id: [ID from search results]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
   -",Check if selected restaurants have availability for the requested party size and time,4,True,False
router,poem,20,2,make_reservation,"- restaurant_id: [ID of chosen restaurant]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
     - customer_name: [user's name]
     - phone_number: [user's phone]
     - email: [user's email]
   -",Actually book the reservation at the chosen restaurant,4,True,False
router,poem,20,3,send_confirmation,"- reservation_id: [ID from reservation]
     - email: [user's email]
     - phone_number: [user's phone]
   -",Send confirmation details to the user via email and/or text,4,True,False
router,poem,21,0,searchRestaurants,"- cuisine_type: ""Italian""
- location: ""Austin, Texas""
- outdoor_seating: true
- price_range: null (optional, not specified in request)
- rating_minimum: null (optional, not specified in request)",Search for Italian restaurants in Austin that have outdoor seating options,4,True,False
router,poem,21,1,checkRestaurantAvailability,"- restaurant_id: [ID returned from previous search]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check which restaurants from the search results have availability for the requested party size and time,4,True,False
router,poem,21,2,makeReservation,"- restaurant_id: [ID of selected restaurant]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- special_requests: ""Outdoor seating""",Make the actual reservation at the chosen restaurant,4,True,False
router,poem,21,3,sendConfirmation,"- reservation_id: [ID returned from makeReservation]
- contact_info: [user's contact details]",Send confirmation details of the reservation to the user,4,True,False
router,poem,24,0,search_restaurants,"- location: ""Austin, Texas""
     - cuisine: ""Italian""
     - outdoor_seating: true
     - price_range: null (optional parameter, not specified)
     - rating_minimum: null (optional parameter, not specified)
   -",Find Italian restaurants in Austin that have outdoor seating options,3,True,False
router,poem,24,1,check_restaurant_availability,"- restaurant_id: [id from search results]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
   -",Check if selected restaurants have availability for the specified party size and time,3,True,False
router,poem,24,2,make_restaurant_reservation,"- restaurant_id: [id of chosen restaurant]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
     - customer_name: [user's name]
     - contact_info: [user's phone/email]
   -",Actually make the reservation at the chosen restaurant with the specified details,3,True,False
router,poem,23,0,search_restaurants,"- location: ""Austin, Texas""
- cuisine_type: ""Italian""
- seating_preference: ""outdoor""
- rating_minimum: 4.0",Find highly-rated Italian restaurants in Austin that offer outdoor seating,4,False,False
router,poem,23,1,check_restaurant_availability,"- restaurant_ids: [results from search]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Filter the restaurant list to only those that can accommodate the party size and desired time,4,False,False
router,poem,23,2,get_restaurant_details,- restaurant_id: [selected restaurant from available options],"Retrieve detailed information about the specific restaurant including menu, exact address, phone number, and photos",4,False,False
router,poem,23,3,make_reservation,"- restaurant_id: [selected restaurant]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- phone_number: [user's phone]
- email: [user's email]",Actually book the reservation at the chosen restaurant,4,False,False
router,poem,22,0,search_restaurants,"- location: ""Austin, Texas""
- cuisine_type: ""Italian""
- outdoor_seating: true
- min_rating: 4.0",Search for highly-rated Italian restaurants in Austin that offer outdoor seating,4,True,False
router,poem,22,1,check_availability,"- restaurant_id: [ID from search results]
- party_size: 6
- date: [today's date]
- time: ""19:30""",Check if selected restaurants have availability for the requested party size and time,4,True,False
router,poem,22,2,get_restaurant_details,- restaurant_id: [ID of available restaurant],"Retrieve detailed information about the restaurant including menu, price range, exact address, and photos",4,True,False
router,poem,22,3,make_reservation,"- restaurant_id: [ID of chosen restaurant]
- party_size: 6
- date: [today's date]
- time: ""19:30""
- customer_name: [user's name]
- phone_number: [user's phone]
- special_requests: ""Outdoor seating preferred""",Make the actual reservation at the chosen restaurant,4,True,False
router,poem,25,0,search_restaurants,"- cuisine_type: ""Italian""
- location: ""Austin, TX""
- outdoor_seating: true
- price_range: null (not specified)
- rating_minimum: null (not specified)",Find Italian restaurants in Austin that have outdoor seating options,3,True,False
router,poem,25,1,check_restaurant_availability,"- restaurant_id: [ID from search results]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check if selected restaurants have availability for the specified party size and time,3,True,False
router,poem,25,2,create_reservation,"- restaurant_id: [ID of chosen restaurant]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- phone_number: [user's phone]
- email: [user's email]",Make the actual reservation at the chosen restaurant,3,True,False
router,poem,26,0,search_restaurants,"- cuisine_type: ""Italian""
- location: ""Austin, TX""
- outdoor_seating: true
- min_party_size: 6",Search for Italian restaurants in Austin that have outdoor seating and can accommodate 6 people,4,True,False
router,poem,26,1,get_restaurant_availability,"- restaurant_ids: [results from search_restaurants]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check which of the found restaurants have availability for the requested time and party size,4,True,False
router,poem,26,2,get_restaurant_details,- restaurant_id: [selected restaurant from availability check],"Retrieve detailed information about the specific restaurant including menu, ratings, reviews, and exact location",4,True,False
router,poem,26,3,make_reservation,"- restaurant_id: [selected restaurant]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- special_requests: ""Outdoor seating preferred""",Actually book the reservation at the chosen restaurant,4,True,False
router,poem,27,0,search_restaurants,"- cuisine_type: ""Italian""
- location: ""Austin, TX""
- outdoor_seating: true
- min_rating: 4.0",Find highly-rated Italian restaurants in Austin that offer outdoor seating,4,True,False
router,poem,27,1,check_restaurant_availability,"- restaurant_id: [ID from search results]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check if selected restaurants have availability for the specified party size and time,4,True,False
router,poem,27,2,make_restaurant_reservation,"- restaurant_id: [ID from available options]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- special_requests: ""Outdoor seating preferred""",Actually book the reservation at the chosen restaurant,4,True,False
router,poem,27,3,send_confirmation,"- reservation_id: [ID from reservation]
- contact_method: ""user_preferred_method""",Send the reservation confirmation details to the user,4,True,False
router,poem,28,0,search_restaurants,"- cuisine_type: ""Italian""
- location: ""Austin, Texas""
- outdoor_seating: true
- price_range: null (not specified)
- rating_minimum: null (not specified)",Find Italian restaurants in Austin that have outdoor seating options,3,True,False
router,poem,28,1,check_restaurant_availability,"- restaurant_id: [returned from search]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check which restaurants from the search results have availability for the specified party size and time,3,True,False
router,poem,28,2,make_restaurant_reservation,"- restaurant_id: [selected restaurant id]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- contact_info: [user's phone/email]",Make the actual reservation at the chosen restaurant,3,True,False
router,poem,29,0,search_restaurants,"- location: ""Austin, Texas""
- cuisine: ""Italian""
- outdoor_seating: true
- price_range: null (not specified)",Find Italian restaurants in Austin that have outdoor seating options,4,True,False
router,poem,29,1,get_restaurant_availability,"- date: [today's date]
- time: ""19:30""
- party_size: 6
- restaurant_ids: [list returned from search_restaurants]",Check which of the found restaurants have availability for the specified party size and time,4,True,False
router,poem,29,2,get_restaurant_details,- restaurant_id: [id of available restaurant],"Retrieve full details about the available restaurant(s) including address, ratings, menu link, etc.",4,True,False
router,poem,29,3,make_reservation,"- restaurant_id: [selected restaurant id]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- contact_info: [user's phone/email]",Actually book the reservation at the chosen restaurant,4,True,False
router,hyperstring,0,0,searchRestaurants,"- cuisine_type: ""Italian""
- location: ""Austin, TX""
- outdoor_seating: true
- min_capacity: 6",Search for restaurants matching the specified criteria,4,False,True
router,hyperstring,0,1,checkAvailability,"- restaurant_id: [returned from searchRestaurants]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check if the selected restaurant(s) have availability for the specified time and party size,4,False,True
router,hyperstring,0,2,makeReservation,"- restaurant_id: [returned from searchRestaurants]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- seating_preference: ""outdoor""",Actually make the reservation once a suitable restaurant is found,4,False,True
router,hyperstring,0,3,sendConfirmation,"- reservation_id: [returned from makeReservation]
- contact_method: [user's preferred contact method]",Send reservation confirmation details to the user,4,False,True
router,hyperstring,1,0,searchRestaurants,"* cuisine_type: ""Italian""
     * location: ""Austin, TX""
     * outdoor_seating: true
     * min_capacity: 6
   -",Search for Italian restaurants in Austin matching the specified criteria,4,False,True
router,hyperstring,1,1,checkAvailability,"* restaurant_id: [returned from previous call]
     * party_size: 6
     * date: [today's date]
     * time: ""19:30""
   -",Check if selected restaurants have availability for the specified party size and time,4,False,True
router,hyperstring,1,2,makeReservation,"* restaurant_id: [returned from previous calls]
     * party_size: 6
     * date: [today's date]
     * time: ""19:30""
     * customer_details: [user's contact info]
   -",Actually make the reservation at the chosen restaurant,4,False,True
router,hyperstring,1,3,sendConfirmation,"* reservation_id: [returned from makeReservation]
     * customer_contact: [user's contact info]
   -",Send confirmation details to the user about their reservation,4,False,True
router,hyperstring,2,0,searchRestaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, TX""
     - filters: {
         outdoor_seating: true,
         min_capacity: 6
       }
   -",Search for Italian restaurants in Austin matching the specified criteria,4,True,True
router,hyperstring,2,1,checkRestaurantAvailability,"- restaurant_id: [returned from previous call]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
   -",Check if selected restaurant has availability for the specified time and party size,4,True,True
router,hyperstring,2,2,makeReservation,"- restaurant_id: [returned from first call]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually make the reservation once availability is confirmed,4,True,True
router,hyperstring,2,3,sendConfirmation,"- reservation_id: [returned from makeReservation]
     - contact_method: [user's preferred contact method]
   -",Send reservation confirmation details to the user,4,True,True
router,hyperstring,3,0,searchRestaurants,"{
     location: ""Austin, TX"",
     cuisine: ""Italian"",
     filters: {
       outdoorSeating: true,
       minimumCapacity: 6
     }
   }
   -",Search for Italian restaurants in Austin matching the specified criteria,4,False,True
router,hyperstring,3,1,checkAvailability,"{
     restaurantId: [result from searchRestaurants],
     partySize: 6,
     date: [today's date],
     time: ""19:30""
   }
   -",Check if selected restaurants have availability for the specified party size and time,4,False,True
router,hyperstring,3,2,makeReservation,"{
     restaurantId: [result from checkAvailability],
     partySize: 6,
     date: [today's date],
     time: ""19:30"",
     reservationType: ""outdoor seating""
   }
   -",Actually make the reservation at the selected restaurant,4,False,True
router,hyperstring,3,3,sendConfirmation,"{
     reservationId: [result from makeReservation],
     contactMethod: ""user's preferred contact method""
   }
   -",Send reservation confirmation details to the user,4,False,True
router,hyperstring,4,0,searchRestaurants,"{
     location: ""Austin, TX"",
     cuisine_type: ""Italian"",
     filters: {
       outdoor_seating: true,
       minimum_capacity: 6
     }
   }
   -",Search for Italian restaurants in Austin matching the specified criteria,4,True,True
router,hyperstring,4,1,checkAvailability,"{
     restaurant_id: [result from searchRestaurants],
     party_size: 6,
     date: ""today"",
     time: ""19:30""
   }
   -",Check if selected restaurant has availability for the specified party size and time,4,True,True
router,hyperstring,4,2,makeReservation,"{
     restaurant_id: [result from searchRestaurants],
     party_size: 6,
     date: ""today"",
     time: ""19:30"",
     seating_preference: ""outdoor""
   }
   -",Actually make the reservation once availability is confirmed,4,True,True
router,hyperstring,4,3,sendConfirmation,"{
     reservation_id: [result from makeReservation],
     contact_method: ""user_preferred"" 
   }
   -",Send reservation confirmation details to the user,4,True,True
router,hyperstring,5,0,searchRestaurants,"- cuisine_type: ""Italian""
- location: ""Austin, TX""
- filters: {outdoor_seating: true, min_capacity: 6}",Search for Italian restaurants in Austin that meet the outdoor seating and capacity requirements,3,False,True
router,hyperstring,5,1,checkAvailability,"- restaurant_id: [result from searchRestaurants]
- party_size: 6
- date: [today's date]
- time: ""19:30""",Check if selected restaurant(s) have availability for the specified party size and time,3,False,True
router,hyperstring,5,2,makeReservation,"- restaurant_id: [result from checkAvailability]
- party_size: 6
- date: [today's date]
- time: ""19:30""
- customer_info: [user's contact details]",Actually make the reservation at the chosen restaurant,3,False,True
router,hyperstring,6,0,searchRestaurants,"- cuisine: ""Italian""
     - location: ""Austin, TX""
     - outdoorSeating: true
     - minCapacity: 6
   -",Search for restaurants matching the specified criteria,4,False,True
router,hyperstring,6,1,checkAvailability,"- restaurantId: [returned from searchRestaurants]
     - date: [today's date]
     - time: ""19:30""
     - partySize: 6
   -",Check if the selected restaurant has availability for the requested time and party size,4,False,True
router,hyperstring,6,2,makeReservation,"- restaurantId: [returned from searchRestaurants]
     - date: [today's date]
     - time: ""19:30""
     - partySize: 6
     - customerDetails: [user's contact info]
   -",Actually make the reservation once availability is confirmed,4,False,True
router,hyperstring,6,3,sendConfirmation,"- reservationId: [returned from makeReservation]
     - contactMethod: [user's preferred contact method]
   -",Send reservation confirmation details to the user,4,False,True
router,hyperstring,7,0,searchRestaurants,"- cuisine: ""Italian""
     - location: ""Austin, TX""
     - filters: {
       ""outdoor_seating"": true,
       ""minimum_capacity"": 6
     }
   -",Search for Italian restaurants in Austin matching the specific criteria,4,True,True
router,hyperstring,7,1,checkAvailability,"- restaurant_id: [returned from previous search]
     - date: ""today""
     - time: ""19:30""
     - party_size: 6
   -",Check if the selected restaurant has availability for the specified time and party size,4,True,True
router,hyperstring,7,2,makeReservation,"- restaurant_id: [returned from search]
     - date: ""today""
     - time: ""19:30""
     - party_size: 6
     - customer_details: {
       [would need user's contact info]
     }
   -",Actually make the reservation once a suitable restaurant is found,4,True,True
router,hyperstring,7,3,sendConfirmation,"- reservation_id: [returned from makeReservation]
     - contact_method: ""email/sms""
     - customer_contact: [user's contact info]
   -",Send confirmation details to the customer,4,True,True
router,hyperstring,8,0,searchRestaurants,"- cuisine: ""Italian""
- location: ""Austin""
- filters: {outdoorSeating: true, minCapacity: 6}
- sort: ""rating""",Search for Italian restaurants in Austin matching the outdoor seating and capacity requirements,4,True,True
router,hyperstring,8,1,checkAvailability,"- restaurantId: [id from previous result]
- partySize: 6
- date: [today's date]
- time: ""19:30""",Check if selected restaurants have availability for the requested party size and time,4,True,True
router,hyperstring,8,2,makeReservation,"- restaurantId: [id from available restaurant]
- partySize: 6
- date: [today's date]
- time: ""19:30""
- customerDetails: [user's contact info]",Actually make the reservation at the chosen restaurant,4,True,True
router,hyperstring,8,3,sendConfirmation,"- reservationId: [id from reservation]
- contactMethod: [user's preferred contact method]",Send reservation confirmation details to the user,4,True,True
router,hyperstring,9,0,searchRestaurants,"- cuisine_type: ""Italian""
     - location: ""Austin""
     - filters: {outdoor_seating: true, min_capacity: 6}
   -",Search for Italian restaurants in Austin matching the specified criteria,4,False,True
router,hyperstring,9,1,checkAvailability,"- restaurant_id: [result from searchRestaurants]
     - party_size: 6
     - date: [today's date]
     - time: ""19:30""
   -",Check if selected restaurants have availability for the specified party size and time,4,False,True
router,hyperstring,9,2,makeReservation,"- restaurant_id: [result from checkAvailability]
     - party_size: 6
     - date: [today's date]
     - time: ""19:30""
     - customer_info: [user's details]
   -",Actually make the reservation at the chosen restaurant,4,False,True
router,hyperstring,9,3,sendConfirmation,"- reservation_id: [result from makeReservation]
     - contact_method: [user's preferred contact method]
   -",Send reservation confirmation details to the user,4,False,True
